timestamp,frame_number,confidence
2026-08-27_22-20-37,229,0.519
2026-08-27_22-28-30,81,0.669
2026-08-27_22-28-41,404,0.718
2026-08-27_22-28-51,704,0.520
2026-08-27_22-29-11,1301,0.662
2026-08-27_22-29-21,1601,0.805
2026-08-27_22-29-33,1946,0.682
2026-08-27_22-30-13,3146,0.740
2026-08-27_22-30-24,3464,0.800
2026-08-27_22-43-43,25913,0.413
2026-08-29_03-58-25,22,0.799
2026-08-29_03-58-30,272,0.645
2026-08-29_04-01-06,22,0.799
2026-08-29_04-01-11,272,0.645
2026-08-29_04-01-21,22,0.799
2026-08-29_04-01-27,272,0.645
2026-08-29_04-01-44,22,0.799
2026-08-29_04-01-50,272,0.645
