epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.253,1.48064,2.32608,1.45425,0.55405,0.59401,0.61246,0.35544,1.42988,2.06233,1.5003,0.000554362,0.000554362,0.000554362
2,241.034,1.46103,1.72012,1.45519,0.56938,0.62024,0.62221,0.36582,1.4109,1.6992,1.45459,0.00108805,0.00108805,0.00108805
3,347.098,1.43427,1.50441,1.42815,0.60266,0.71715,0.72958,0.43377,1.3618,1.40785,1.41334,0.00159973,0.00159973,0.00159973
4,452.337,1.37168,1.37601,1.39419,0.76471,0.7209,0.77188,0.49202,1.30069,1.21951,1.39166,0.00156798,0.00156798,0.00156798
5,556.569,1.32549,1.25316,1.36285,0.75708,0.73533,0.794,0.50381,1.25109,1.2394,1.37554,0.00153497,0.00153497,0.00153497
6,664.701,1.25057,1.13154,1.31412,0.82839,0.81477,0.86748,0.59292,1.15655,0.92785,1.25224,0.00150197,0.00150197,0.00150197
7,774.771,1.21793,1.06876,1.28769,0.77668,0.83002,0.84778,0.59005,1.09828,0.93065,1.23192,0.00146896,0.00146896,0.00146896
8,882.412,1.16823,0.99538,1.26154,0.84296,0.86148,0.88255,0.63472,1.05976,0.79682,1.1947,0.00143595,0.00143595,0.00143595
9,987.195,1.14964,0.95893,1.25037,0.87556,0.84275,0.89725,0.63479,1.09616,0.76505,1.24389,0.00140295,0.00140295,0.00140295
10,1090.5,1.12175,0.91279,1.23152,0.87708,0.86489,0.90295,0.6456,1.06751,0.74571,1.19213,0.00136994,0.00136994,0.00136994
11,1206.1,1.10731,0.88754,1.22177,0.88118,0.8757,0.91121,0.64682,1.05458,0.67482,1.19936,0.00133693,0.00133693,0.00133693
12,1317.46,1.08171,0.86087,1.20502,0.88482,0.89389,0.92139,0.6692,1.0166,0.66824,1.156,0.00130393,0.00130393,0.00130393
13,1424.86,1.0633,0.84026,1.19111,0.87766,0.86931,0.91198,0.67646,1.01102,0.65502,1.16258,0.00127092,0.00127092,0.00127092
14,1534.83,1.0459,0.803,1.1778,0.872,0.85374,0.90972,0.66122,1.07091,0.68505,1.20728,0.00123791,0.00123791,0.00123791
15,1642.86,1.01848,0.78264,1.16983,0.88676,0.89641,0.92721,0.68683,0.98581,0.59946,1.15282,0.00120491,0.00120491,0.00120491
16,1756.78,1.01158,0.76388,1.16418,0.86891,0.90167,0.92296,0.6777,0.966,0.60665,1.14877,0.0011719,0.0011719,0.0011719
17,1872.03,1.00029,0.75423,1.15043,0.9132,0.90062,0.93695,0.71004,0.95845,0.57747,1.12558,0.00113889,0.00113889,0.00113889
18,1962.21,0.98003,0.73849,1.14468,0.89284,0.90513,0.92376,0.70175,0.93536,0.58093,1.10954,0.00110589,0.00110589,0.00110589
19,2053.07,0.97836,0.72522,1.14337,0.90686,0.89133,0.93299,0.70719,0.9384,0.56552,1.13072,0.00107288,0.00107288,0.00107288
20,2143.12,0.96045,0.71144,1.13485,0.90902,0.88984,0.94222,0.71474,0.9458,0.55355,1.12763,0.00103987,0.00103987,0.00103987
21,2252.65,0.9537,0.69924,1.13043,0.92063,0.88867,0.94268,0.71794,0.948,0.54575,1.14288,0.00100687,0.00100687,0.00100687
22,2373.1,0.94031,0.68713,1.12813,0.90705,0.89175,0.93373,0.71321,0.93632,0.54941,1.11559,0.000973861,0.000973861,0.000973861
23,2475.44,0.92231,0.66989,1.10783,0.91782,0.88736,0.9426,0.71537,0.94392,0.54771,1.12219,0.000940855,0.000940855,0.000940855
24,2591.45,0.93107,0.68068,1.11679,0.92417,0.89677,0.94324,0.71606,0.91779,0.53606,1.10259,0.000907848,0.000907848,0.000907848
25,2727.36,0.91852,0.6549,1.10645,0.91119,0.90703,0.94243,0.71563,0.91744,0.52937,1.11768,0.000874842,0.000874842,0.000874842
26,2832.88,0.8982,0.64446,1.09602,0.92129,0.90367,0.95065,0.72714,0.90481,0.51027,1.0976,0.000841835,0.000841835,0.000841835
27,2930.47,0.8858,0.63182,1.08952,0.91653,0.92116,0.94784,0.73757,0.89015,0.49733,1.09764,0.000808828,0.000808828,0.000808828
28,3023.55,0.88784,0.63145,1.08967,0.9205,0.92439,0.94933,0.73478,0.89098,0.50219,1.10797,0.000775822,0.000775822,0.000775822
29,3120.59,0.8641,0.6045,1.07367,0.92413,0.92457,0.95562,0.73646,0.88915,0.48805,1.09833,0.000742815,0.000742815,0.000742815
30,3211.19,0.85553,0.60395,1.07445,0.92857,0.90396,0.95066,0.73407,0.88538,0.48767,1.08631,0.000709809,0.000709809,0.000709809
31,3303.24,0.85995,0.5986,1.072,0.90885,0.92121,0.94911,0.73322,0.88702,0.49503,1.09002,0.000676802,0.000676802,0.000676802
32,3393.56,0.84736,0.58596,1.06604,0.94002,0.9028,0.95015,0.73349,0.88874,0.4931,1.10039,0.000643795,0.000643795,0.000643795
33,3485.33,0.83988,0.58681,1.06338,0.91391,0.9098,0.94593,0.73841,0.87375,0.50344,1.0868,0.000610789,0.000610789,0.000610789
34,3576.86,0.82585,0.56902,1.05876,0.92375,0.91958,0.954,0.74993,0.84992,0.48371,1.07185,0.000577782,0.000577782,0.000577782
35,3667.39,0.81313,0.56476,1.05597,0.9322,0.92129,0.95536,0.75055,0.84576,0.47706,1.07066,0.000544776,0.000544776,0.000544776
36,3759.27,0.80578,0.55667,1.04892,0.93029,0.92137,0.9527,0.74654,0.85953,0.46815,1.08332,0.000511769,0.000511769,0.000511769
37,3850.14,0.81294,0.55481,1.04876,0.94024,0.91496,0.94928,0.74751,0.84836,0.48512,1.08284,0.000478762,0.000478762,0.000478762
38,3941.5,0.7958,0.54443,1.04483,0.92176,0.91871,0.94904,0.7497,0.84319,0.47526,1.0659,0.000445756,0.000445756,0.000445756
39,4032.62,0.79241,0.54258,1.04381,0.92526,0.92535,0.95633,0.75509,0.8413,0.461,1.064,0.000412749,0.000412749,0.000412749
40,4122.67,0.77726,0.53126,1.03538,0.9386,0.91806,0.9528,0.75458,0.82311,0.46556,1.06694,0.000379743,0.000379743,0.000379743
41,120.886,0.68612,0.39501,0.97733,0.92871,0.92005,0.95372,0.75372,0.83141,0.4632,1.07117,0.000346736,0.000346736,0.000346736
42,206.917,0.66736,0.38209,0.96796,0.92202,0.92733,0.9593,0.75582,0.82429,0.45472,1.06553,0.000313729,0.000313729,0.000313729
43,291.624,0.65486,0.37768,0.95964,0.93713,0.91569,0.95811,0.75842,0.81877,0.45936,1.05936,0.000280723,0.000280723,0.000280723
44,380.506,0.6378,0.36493,0.95175,0.93917,0.91325,0.95481,0.75856,0.80924,0.45228,1.05764,0.000247716,0.000247716,0.000247716
45,468.358,0.63158,0.36109,0.95044,0.94284,0.92137,0.95329,0.76233,0.80788,0.44783,1.0558,0.00021471,0.00021471,0.00021471
46,557.084,0.62149,0.35179,0.94818,0.93536,0.91628,0.95241,0.75891,0.80492,0.44711,1.05214,0.000181703,0.000181703,0.000181703
47,644.081,0.61432,0.34494,0.94273,0.94046,0.91726,0.95439,0.76357,0.80027,0.44537,1.05209,0.000148696,0.000148696,0.000148696
48,733.084,0.60502,0.33776,0.93632,0.93431,0.922,0.95624,0.76386,0.80304,0.44371,1.05999,0.00011569,0.00011569,0.00011569
49,819.631,0.59929,0.33308,0.93539,0.93671,0.92207,0.95755,0.76796,0.7996,0.44138,1.06008,8.26832e-05,8.26832e-05,8.26832e-05
50,905.568,0.5873,0.32805,0.93122,0.9351,0.92186,0.95642,0.76909,0.79645,0.44259,1.05773,4.96766e-05,4.96766e-05,4.96766e-05
