epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.847,1.49726,2.54723,1.44438,0.79388,0.03478,0.07837,0.0417,1.85917,3.48456,1.40486,0.000650407,0.000650407,0.000650407
2,509.686,1.58522,2.11153,1.51074,0.09509,0.14783,0.04156,0.01911,2.00516,4.1521,1.74981,0.001291,0.001291,0.001291
3,780.784,1.60848,2.02636,1.55475,0.10871,0.04783,0.03928,0.01974,2.40737,3.97928,1.91498,0.00190518,0.00190518,0.00190518
4,1032.35,1.64117,1.93005,1.54362,0.50813,0.32789,0.32653,0.16605,1.99254,3.16666,1.71313,0.0018812,0.0018812,0.0018812
5,1286.61,1.58227,1.80628,1.51205,0.29066,0.12609,0.09509,0.04689,2.08333,4.63217,1.76024,0.0018416,0.0018416,0.0018416
6,1675.3,1.53653,1.71941,1.48383,0.03387,0.24348,0.01641,0.00627,2.32039,3.94973,1.77432,0.001802,0.001802,0.001802
7,1924.96,1.53825,1.64177,1.46598,0.58185,0.33478,0.37707,0.20033,1.96364,2.3217,1.60904,0.0017624,0.0017624,0.0017624
8,2161.59,1.46643,1.53566,1.41986,0.5412,0.31304,0.35074,0.16151,1.98117,2.20207,1.65146,0.0017228,0.0017228,0.0017228
9,2397.67,1.44878,1.45166,1.40935,0.54783,0.46522,0.46392,0.2408,1.9936,1.87926,1.64671,0.0016832,0.0016832,0.0016832
10,2619.66,1.41828,1.40769,1.37856,0.56532,0.46087,0.46248,0.25191,1.76848,1.94696,1.44716,0.0016436,0.0016436,0.0016436
11,2832.59,1.38016,1.3639,1.38362,0.62082,0.39565,0.43168,0.20018,1.83935,2.20961,1.50565,0.001604,0.001604,0.001604
12,3041.82,1.33248,1.30202,1.33969,0.563,0.46522,0.47413,0.23754,1.85934,1.82244,1.50605,0.0015644,0.0015644,0.0015644
13,3246.22,1.29961,1.24515,1.31433,0.64416,0.58696,0.5147,0.25474,1.74442,1.54773,1.48276,0.0015248,0.0015248,0.0015248
14,3441.16,1.3325,1.21242,1.31218,0.72941,0.6087,0.65236,0.34251,1.67848,1.59652,1.40433,0.0014852,0.0014852,0.0014852
15,3637.27,1.24053,1.14014,1.28046,0.73366,0.51304,0.60894,0.34119,1.69368,1.46142,1.41322,0.0014456,0.0014456,0.0014456
16,3831.09,1.22008,1.09391,1.26843,0.80389,0.63913,0.66685,0.33418,1.67612,1.44229,1.40713,0.001406,0.001406,0.001406
17,4031.08,1.24995,1.13325,1.28148,0.60193,0.49565,0.51723,0.29904,1.63255,1.3791,1.36005,0.0013664,0.0013664,0.0013664
18,4228.93,1.22159,1.08056,1.26397,0.63257,0.6087,0.61137,0.34452,1.6712,1.44162,1.36989,0.0013268,0.0013268,0.0013268
19,4427.25,1.18938,1.03052,1.2329,0.72618,0.55652,0.58218,0.30515,1.63316,1.37743,1.38615,0.0012872,0.0012872,0.0012872
20,4626.9,1.14979,0.99581,1.2103,0.72358,0.56906,0.60807,0.2983,1.74949,1.52905,1.50862,0.0012476,0.0012476,0.0012476
21,4823.49,1.16109,1.01832,1.22565,0.70958,0.63913,0.65985,0.36265,1.76893,1.1233,1.49104,0.001208,0.001208,0.001208
22,5019.86,1.13658,1.00426,1.2255,0.76088,0.58261,0.63325,0.36858,1.64814,1.27048,1.43465,0.0011684,0.0011684,0.0011684
23,5216.27,1.09971,0.94173,1.18967,0.76404,0.57391,0.6232,0.37278,1.62375,1.20514,1.3581,0.0011288,0.0011288,0.0011288
24,5414.61,1.13405,0.92855,1.19964,0.72892,0.64301,0.6615,0.37437,1.54765,1.17638,1.33493,0.0010892,0.0010892,0.0010892
25,5618.19,1.1092,0.93952,1.19856,0.69782,0.58234,0.61006,0.35916,1.48135,1.28516,1.32594,0.0010496,0.0010496,0.0010496
26,5817.65,1.04518,0.85687,1.15839,0.7569,0.61304,0.66096,0.4042,1.58381,1.08654,1.4047,0.00101,0.00101,0.00101
27,6014.32,1.04305,0.83226,1.14766,0.76698,0.644,0.70783,0.39392,1.55175,1.06345,1.39487,0.0009704,0.0009704,0.0009704
28,6209.84,1.04446,0.8393,1.14567,0.7694,0.60929,0.65243,0.38686,1.43543,1.05992,1.35033,0.0009308,0.0009308,0.0009308
29,6405.92,1.00907,0.83383,1.15079,0.73167,0.54536,0.60711,0.37616,1.46242,1.23097,1.33084,0.0008912,0.0008912,0.0008912
30,6601.96,0.99413,0.79383,1.11558,0.81637,0.63478,0.70244,0.39253,1.51865,1.10011,1.31152,0.0008516,0.0008516,0.0008516
